tourney_name,Tournament,Winner,Loser,Winner,Loser,round,,Round,,AvgW,AvgL,Avgoddsw,Averoddsl
Australian Open,Australian Open,Cuevas,Lajovic,Fritz,Monfils,R128,,2nd Round,,2.37,1.6,,
Australian Open,Australian Open,Dimitrov,Tipsarevic,Khachanov,Nishioka,R128,,2nd Round,,1.22,4.36,,
Australian Open,Australian Open,Seppi,Johnson,Fabbiano,Opelka,R128,,2nd Round,,3.25,1.35,,
Australian Open,Australian Open,Thompson,Lopez,Bautista,Millman,R128,,2nd Round,,1.32,3.46,,
Australian Open,Australian Open,Tiafoe,Gunneswaran,Dimitrov,Cuevas,R128,,2nd Round,,1.13,6.03,,
Australian Open,Australian Open,Anderson,Mannarino,De,Laaksonen,R128,,2nd Round,,1.05,10.7,,
Australian Open,Australian Open,Federer,Istomin,Nadal,Ebden,R128,,2nd Round,,1.06,9.92,,
Australian Open,Australian Open,Evans,Ito,Nishikori,Karlovic,R128,,2nd Round,,1.16,5.25,,
Australian Open,Australian Open,Fritz,Norrie,Raonic,Wawrinka,R128,,2nd Round,,1.29,3.64,,
Australian Open,Australian Open,Monfils,Dzumhur,Sousa,Kohlschreiber,R128,,2nd Round,,2.95,1.41,,
Australian Open,Australian Open,Basilashvili,Eubanks,Carreno,Ivashka,R128,,2nd Round,,1.63,2.3,,
Australian Open,Australian Open,Travaglia,Andreozzi,Coric,Fucsovics,R128,,2nd Round,,1.29,3.69,,
Australian Open,Australian Open,Troicki,Carballes,Fognini,Mayer,R128,,2nd Round,,1.6,2.37,,
Australian Open,Australian Open,Tsitsipas,Berrettini,Herbert,Chung,R128,,2nd Round,,2.28,1.65,,
Australian Open,Australian Open,Khachanov,Gojowczyk,Krajinovic,Donskoy,R128,,2nd Round,,1.39,3.05,,
Australian Open,Australian Open,Nishioka,Sandgren,Goffin,Copil,R128,,2nd Round,,1.22,4.46,,
Australian Open,Australian Open,Millman,Delbonis,Bolt,Simon,R128,,2nd Round,,5.94,1.14,,
